polymer,PSMILES,Exp_Tg(K),source,SMILES,tg_range,number of points,reliability,stdev,num_atoms_sidechainfeaturizer_sum,num_atoms_sidechainfeaturizer_mean,num_atoms_sidechainfeaturizer_max,num_atoms_sidechainfeaturizer_min,numsidechainfeaturizer,num_atoms_backbonefeaturizer,numbackbonefeaturizer,num_hbond_donors_fullpolymerfeaturizer,num_hbond_acceptors_fullpolymerfeaturizer,num_rotatable_bonds_fullpolymerfeaturizer,num_rings_fullpolymerfeaturizer,num_non_aromatic_rings_fullpolymerfeaturizer,num_aromatic_rings_fullpolymerfeaturizer,topological_surface_area_fullpolymerfeaturizer,fraction_bicyclic_rings_fullpolymerfeaturizer,num_aliphatic_heterocycles_fullpolymerfeaturizer,slogp_vsa1_fullpolymerfeaturizer,balaban_j_index_fullpolymerfeaturizer,molecular_weight_fullpolymerfeaturizer,sp3_carbon_count_fullpolymerfeaturizer,sp2_carbon_count_fullpolymerfeaturizer,max_estate_index_fullpolymerfeaturizer,smr_vsa5_fullpolymerfeaturizer,fp_density_morgan1_fullpolymerfeaturizer,total_halogens_fullpolymerfeaturizer,fluorine_count_fullpolymerfeaturizer,chlorine_count_fullpolymerfeaturizer,bromine_count_fullpolymerfeaturizer,single_bonds_fullpolymerfeaturizer,double_bonds_fullpolymerfeaturizer,triple_bonds_fullpolymerfeaturizer,bridging_rings_count_fullpolymerfeaturizer,max_ring_size_fullpolymerfeaturizer,heteroatom_density_fullpolymerfeaturizer,heteroatom_count_fullpolymerfeaturizer,heteroatom_distance_mean_fullpolymerfeaturizer,heteroatom_distance_min_fullpolymerfeaturizer,heteroatom_distance_max_fullpolymerfeaturizer,heteroatom_distance_sum_fullpolymerfeaturizer
Poly(p-phenylene terephthalamide) ,*C(=O)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)N*,600.0,Schrodinger,,600.0-600.0,1,black,,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,3.0,4.0,2.0,0.0,2.0,58.2,0.0,0.0,11.050456081168516,2.0841650341683335,238.07422756,0.0,18.0,12.066008834089192,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,0.3,6.0,8.073813512647652,1.5000000000000002,14.77328670269416,121.10720268971478
"Poly(1,4-cyclohexylidene dimethylene terephthalate)",*C(=O)C1=CC=C(C=C1)C(=O)OCC1CCC(CC1)CO*,368.0,Schrodinger,,368.0-368.0,1,black,,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,4.0,6.0,2.0,1.0,1.0,52.60000000000001,0.0,0.0,0.0,1.7696330728433314,274.120509056,9.0,11.0,12.03204819661259,25.683286491704038,1.05,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,6.0,0.2727272727272727,6.0,8.858068187623404,1.5000000000000004,15.874507866387546,132.87102281435105
Poly(m-phenylene isophthalamide) ,*C(=O)C1=CC=CC(=C1)C(=O)NC1=CC=CC(=C1)N*,545.0,Schrodinger,,545.0-545.0,1,black,,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,3.0,4.0,2.0,0.0,2.0,58.2,0.0,0.0,11.050456081168516,2.188742831141702,238.07422756,0.0,18.0,12.181743197278912,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,0.3,6.0,6.867640885826376,1.5,13.332291625973383,103.01461328739565
Poly(m-phenylene isophthalate) ,*C(=O)C1=CC=CC(=C1)C(=O)OC1=CC=CC(=C1)O*,411.0,Schrodinger,,411.0-411.0,1,black,,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,4.0,4.0,2.0,0.0,2.0,52.60000000000001,0.0,0.0,9.843390348640755,2.188742831141702,240.042258736,0.0,18.0,12.050223922902495,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,0.3,6.0,6.867640885826376,1.5,13.332291625973383,103.01461328739565
Poly(m-xylylene adipamide) ,*C(=O)CCCCC(=O)NCC1=CC=CC(=C1)CN*,363.0,Schrodinger,,363.0-363.0,1,black,,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,3.0,9.0,1.0,0.0,1.0,58.2,0.0,0.0,11.050456081168516,2.260940653436098,246.136827816,7.0,11.0,11.68892928004535,38.77279930352918,1.1666666666666667,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,6.0,0.3,6.0,9.00227592291842,1.5000000000000013,17.03672503740082,135.0341388437763
Poly(hexamethylene adipamide) ,*C(=O)CCCCC(=O)NCCCCCCN*,327.0,Schrodinger,,324.0-330.0,2,yellow,4.242640687119285,0.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,3.0,12.0,0.0,0.0,0.0,58.2,0.0,0.0,11.050456081168516,3.1907582521696827,226.168127944,11.0,5.0,11.440763946801557,51.36657298340809,0.9375,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.3333333333333333,6.0,10.272578648864096,1.500000000000001,19.5,154.08867973296145
Poly(10-aminodecanoic acid) ,*C(=O)CCCCCCCCCN*,316.0,Schrodinger,,316.0-316.0,1,black,,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,29.1,0.0,0.0,5.733667477162185,2.884064614706359,169.146664228,10.0,2.0,10.760930025450401,51.36657298340809,1.0833333333333333,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.2857142857142857,4.0,10.256299078806476,1.5000000000000002,15.588457268119896,61.537794472838854
Poly(9-aminononanoic acid) ,*C(=O)CCCCCCCCN*,324.0,Schrodinger,,324.0-324.0,1,black,,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,29.1,0.0,0.0,5.733667477162185,2.8729187591669154,155.131014164,9.0,2.0,10.727579270727269,44.94575136048208,1.1818181818181819,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.3076923076923077,4.0,9.39668716996446,1.4999999999999998,14.309088021254185,56.38012301978676
Poly(7-aminoheptanoic acid) ,*C(=O)CCCCCCN*,330.0,Schrodinger,,330.0-330.0,1,black,,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,29.1,0.0,0.0,5.733667477162185,2.849761282233442,127.099714036,7.0,2.0,10.641376842403627,32.10410811463005,1.4444444444444444,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.36363636363636365,4.0,7.678875428037361,1.5000000000000002,11.715374513859983,46.07325256822416
poly(methacrylonitrile),*C(C#N)(C*)C,390.5,Mattioni,,388.0-393.0,2,yellow,3.5355339059327378,2.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,3.6557909262199404,67.04219916,3.0,0.0,8.446527777777778,19.76538044554264,2.6,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.42857142857142855,3.0,4.117894711967554,3.3541019662496847,5.408326913195984,12.353684135902661
